Country_Region,Population,Deaths,Mortality_rate
Australia,25459700.0,104,0.40848870960773304
US,329466283.0,126140,38.28616356472507
Russia,145934460.0,9152,6.2713083667832805
Germany,83783945.0,8976,10.71326970817619
Brazil,212559409.0,58314,27.43421252173316
France,65273512.0,29816,45.67855947447718
Italy,60461828.0,34744,57.46435585771572
Liberia,5057677.0,36,0.7117892265559861
Israel,8655541.0,319,3.685500421059758
