,Province_State,Country_Region,Last_Update,Lat,Lng,Confirmed,Deaths,Recovered,Active,Incident_Rate
53,Virginia,US,2020-06-30 04:33:48,37.60308293,-79.14548696,35,0,0,35,110.74197120708747
54,Mississippi,US,2020-06-30 04:33:48,31.17467303,-90.80501621,80,2,0,78,650.5651784988207
55,Alaska,US,2020-06-30 04:33:48,61.14998174,-149.14269860000005,418,6,0,412,145.13888888888889
56,Kansas,US,2020-06-30 04:33:48,38.21413251,-95.29272815,4,0,0,4,50.903537795876815
57,Kentucky,US,2020-06-30 04:33:48,38.00671029,-84.99171713,26,1,0,25,114.30078691695608
58,South Carolina,US,2020-06-30 04:33:48,34.51828081,-82.63959517,578,11,0,567,285.35036878326207
59,Tennessee,US,2020-06-30 04:33:48,36.12684348,-84.19965764,97,2,0,95,126.01002883940866
60,Texas,US,2020-06-30 04:33:48,31.81534745,-95.65354823,1016,2,0,1014,1759.7644409803409
61,Missouri,US,2020-06-30 04:33:48,39.98492163,-94.80163024,49,0,0,49,276.64859981933154
62,Texas,US,2020-06-30 04:33:48,32.30468633,-102.6376548,73,0,0,73,390.2699812884255
63,Maine,US,2020-06-30 04:33:48,44.1664747,-70.20380627,476,4,0,472,439.6132142560285
64,Texas,US,2020-06-30 04:33:48,31.25457347,-94.60901487,464,6,0,458,535.0862019258492
65,Maryland,US,2020-06-30 04:33:48,39.00670238,-76.60329337,5092,207,0,4885,879.0920422489012
66,Minnesota,US,2020-06-30 04:33:48,45.27476015,-93.24604565,2076,107,0,1969,581.6413155852415
67,North Carolina,US,2020-06-30 04:33:48,34.97403241,-80.09953279,126,2,0,124,515.4217458888978
68,Nebraska,US,2020-06-30 04:33:48,42.17695516,-98.0666283,9,1,0,8,142.9025087329311
69,Michigan,US,2020-06-30 04:33:48,44.99690221,-85.15503082,18,0,0,18,77.17372663351055
70,Arizona,US,2020-06-30 04:33:48,35.39465006,-109.4892383,2309,85,0,2224,3211.985477207284
71,Iowa,US,2020-06-30 04:33:48,40.74324454,-92.86865906,20,3,0,17,160.95284081764044
72,Georgia,US,2020-06-30 04:33:48,31.74847232,-82.28909114,256,14,0,242,1392.3637550310018
73,Virginia,US,2020-06-30 04:33:48,37.37569884,-78.81340003,39,0,0,39,245.1134435296336
74,Texas,US,2020-06-30 04:33:48,28.10556197,-96.9995047,20,0,0,20,85.07018290089323
75,Colorado,US,2020-06-30 04:33:48,39.64977461,-104.3353617,5172,343,0,4829,787.7061788939825
76,Texas,US,2020-06-30 04:33:48,33.61569967,-98.68754589,6,0,0,6,70.1508242721852
77,Colorado,US,2020-06-30 04:33:48,37.19474156,-107.04768670000001,8,0,0,8,57.02473447858009
78,Michigan,US,2020-06-30 04:33:48,44.0636262,-83.89277559,38,2,0,36,255.32486729825973
79,Arkansas,US,2020-06-30 04:33:48,34.29145151,-91.37277296,28,0,0,28,160.1281024819856
80,Virginia,US,2020-06-30 04:33:48,38.8767675,-77.10139853,2466,132,0,2334,1041.2004627557612
81,Pennsylvania,US,2020-06-30 04:33:48,40.81665618,-79.46290811,73,6,0,67,112.76743647176953
82,Texas,US,2020-06-30 04:33:48,34.96507426,-101.3574874,3,0,0,3,158.9825119236884
83,Maine,US,2020-06-30 04:33:48,46.65926321,-68.59841248,22,1,0,21,32.808888226083056
84,Nebraska,US,2020-06-30 04:33:48,41.56896142,-101.6959559,0,0,0,0,0.0
85,Louisiana,US,2020-06-30 04:33:48,30.20406249,-90.91328409999998,1157,58,0,1099,913.8731793624214
86,North Carolina,US,2020-06-30 04:33:48,36.43296207,-81.49862729,52,1,0,51,191.15538727346248
87,Ohio,US,2020-06-30 04:33:48,40.84772277,-82.27280781,51,1,0,50,95.35562037244786
88,Wisconsin,US,2020-06-30 04:33:48,46.31956891,-90.67837132,3,0,0,3,19.27772779848349
89,Arkansas,US,2020-06-30 04:33:48,33.19153461,-91.7698471,70,1,0,69,356.1072391514473
90,Ohio,US,2020-06-30 04:33:48,41.70860332,-80.74830218,419,43,0,376,430.8882055922914
91,Washington,US,2020-06-30 04:33:48,46.18894415,-117.2022851,21,2,0,19,92.99442033477993
92,Louisiana,US,2020-06-30 04:33:48,29.89946234,-91.06461642,351,14,0,337,1603.3986569823214
93,Texas,US,2020-06-30 04:33:48,28.89333001,-98.52730485,90,2,0,88,175.94275995542785
94,Kansas,US,2020-06-30 04:33:48,39.53185661,-95.30870026,34,0,0,34,211.53487214583458
95,Missouri,US,2020-06-30 04:33:48,40.43238737,-95.42970639,3,0,0,3,58.331713007972
96,Ohio,US,2020-06-30 04:33:48,39.33425634,-82.04278644,32,1,0,31,48.984340318704355
97,Georgia,US,2020-06-30 04:33:48,31.29633502,-82.87545866,139,2,0,137,1702.388242498469
98,New Jersey,US,2020-06-30 04:33:48,39.47538693,-74.65848483,2845,214,0,2631,1079.0002654833693
99,Oklahoma,US,2020-06-30 04:33:48,34.37366573,-96.03802487,19,0,0,19,138.1014682366623
100,Mississippi,US,2020-06-30 04:33:48,33.08658803,-89.57838564,347,23,0,324,1909.3210080334545
101,Missouri,US,2020-06-30 04:33:48,39.215877,-91.84242683,138,1,0,137,543.5638884512368
102,Iowa,US,2020-06-30 04:33:48,41.6844628,-94.90581859,17,1,0,16,309.315866084425
103,Ohio,US,2020-06-30 04:33:48,40.55998859,-84.22421429999999,98,3,0,95,214.6486770632557
104,Virginia,US,2020-06-30 04:33:48,38.16404586,-79.12461614,183,2,0,181,242.1980465337886
